"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","823","TC-SCHED-04: Verify newly added event is visible","webkit","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","825","TC-SCHED-03: Create an event for today","webkit","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","912","TC-SCHED-03: Create an event for today","firefox","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","820","TC-SCHED-01: Verify page title is displayed correctly","webkit","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","30342","TC-02: Verify existing student is present","firefox","2026-03-12","broken","2026-03-12","Student Management","student.spec.js","",""
"","447","TC-SCHED-02: Verify today's date is displayed correctly","chromium","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","385","TC-SCHED-03: Create an event for today","chromium","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","491","TC-SCHED-06: Verify edited event shows updated information","webkit","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","388","TC-02: Verify existing student is present","chromium","2026-03-27","failed","2026-03-27","Student Management","student.spec.js","",""
"","30595","TC-02: Verify existing student is present","webkit","2026-03-12","broken","2026-03-12","Student Management","student.spec.js","",""
"","822","TC-SCHED-02: Verify today's date is displayed correctly","webkit","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","494","TC-SCHED-05: Edit an existing event","webkit","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","30650","TC-03: Add a new student successfully","webkit","2026-03-12","broken","2026-03-12","Student Management","student.spec.js","",""
"","186","TC-SCHED-05: Edit an existing event","chromium","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","30317","TC-03: Add a new student successfully","firefox","2026-03-12","broken","2026-03-12","Student Management","student.spec.js","",""
"","398","TC-03: Add a new student successfully","chromium","2026-03-27","failed","2026-03-27","Student Management","student.spec.js","",""
"","1132","TC-SCHED-01: Verify page title is displayed correctly","firefox","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","30347","TC-01: Verify page title is displayed correctly","firefox","2026-03-12","broken","2026-03-12","Student Management","student.spec.js","",""
"","389","TC-01: Verify page title is displayed correctly","chromium","2026-03-27","failed","2026-03-27","Student Management","student.spec.js","",""
"","333","TC-SCHED-04: Verify newly added event is visible","chromium","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","1421","TC-SCHED-04: Verify newly added event is visible","firefox","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","158","TC-SCHED-06: Verify edited event shows updated information","chromium","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","398","TC-04: Verify newly added student is visible","chromium","2026-03-27","failed","2026-03-27","Student Management","student.spec.js","",""
"","1029","TC-SCHED-02: Verify today's date is displayed correctly","firefox","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","30602","TC-04: Verify newly added student is visible","webkit","2026-03-12","broken","2026-03-12","Student Management","student.spec.js","",""
"","879","TC-SCHED-06: Verify edited event shows updated information","firefox","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","416","TC-SCHED-01: Verify page title is displayed correctly","chromium","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
"","30329","TC-04: Verify newly added student is visible","firefox","2026-03-12","broken","2026-03-12","Student Management","student.spec.js","",""
"","30568","TC-01: Verify page title is displayed correctly","webkit","2026-03-12","broken","2026-03-12","Student Management","student.spec.js","",""
"","950","TC-SCHED-05: Edit an existing event","firefox","2026-03-27","failed","2026-03-27","Schedule Management","schedule.spec.js","",""
